,party,region,result,council
27, Партія регіонів , Донецька область," 91,7 ",Амвросіївська районна рада
32, Комуністична партія України , Донецька область," 8,3 ",Амвросіївська районна рада
95, Партія регіонів , Миколаївська область," 58,3 ",Миколаївська районна рада
104, Народна Партія , Миколаївська область," 13,9 ",Миколаївська районна рада
105, Комуністична партія України , Миколаївська область," 8,3 ",Миколаївська районна рада
106," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Миколаївська область," 8,3 ",Миколаївська районна рада
107," Партія ""Народна влада"" ", Миколаївська область," 5,6 ",Миколаївська районна рада
108," Політична партія ""Фронт Змін""  ", Миколаївська область," 5,6 ",Миколаївська районна рада
708, Партія регіонів , Луганська область," 80,6 ",Станично-Луганська районна рада
709, Комуністична партія України , Луганська область," 13,9 ",Станично-Луганська районна рада
710, Народна Партія , Луганська область," 2,8 ",Станично-Луганська районна рада
711," Політична партія ""Сильна Україна"" ", Луганська область," 2,8 ",Станично-Луганська районна рада
712, Партія регіонів , Луганська область," 68,2 ",Попаснянська районна рада
713, Партія регіонів , Луганська область," 77,8 ",Троїцька районна рада
714, Комуністична партія України , Луганська область," 22,7 ",Попаснянська районна рада
715," Політична партія ""Сильна Україна"" ", Луганська область," 9,1 ",Попаснянська районна рада
716," Політична партія ""Сильна Україна"" ", Луганська область," 11,1 ",Троїцька районна рада
717, Комуністична партія України , Луганська область," 8,3 ",Троїцька районна рада
718, Народна Партія , Луганська область," 2,8 ",Троїцька районна рада
719, Партія регіонів , Луганська область," 65,8 ",Сватівська районна рада
720, Комуністична партія України , Луганська область," 10,5 ",Сватівська районна рада
721," Політична партія ""Партія місцевого самоврядування"" ", Луганська область," 7,9 ",Сватівська районна рада
722," Політична партія ""Сильна Україна"" ", Луганська область," 5,3 ",Сватівська районна рада
723, Народна Партія , Луганська область," 2,6 ",Сватівська районна рада
724," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Луганська область," 2,6 ",Сватівська районна рада
725, Соціал-демократична партія України , Луганська область," 2,6 ",Сватівська районна рада
726, Партія регіонів , Луганська область, 90 ,Слов'яносербська районна рада
727, Партія регіонів , Луганська область," 78,1 ",Перевальська районна рада
728, Соціал-демократична партія України (об’єднана)  , Луганська область," 2,6 ",Сватівська районна рада
729, Комуністична партія України , Луганська область, 10 ,Слов'яносербська районна рада
730, Комуністична партія України , Луганська область," 15,6 ",Перевальська районна рада
731," Політична партія ""Сильна Україна"" ", Луганська область," 6,3 ",Перевальська районна рада
732, Партія регіонів , Луганська область," 65,9 ",Старобільська районна рада
733, Комуністична партія України , Луганська область, 25 ,Старобільська районна рада
734," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Луганська область," 4,5 ",Старобільська районна рада
735," Політична партія ""Сильна Україна"" ", Луганська область," 2,3 ",Старобільська районна рада
736," Політична партія ""Союз Лівих Сил"" ", Луганська область," 2,3 ",Старобільська районна рада
737, Партія регіонів , Луганська область," 64,7 ",Новопсковська районна рада
738, Комуністична партія України , Луганська область," 17,6 ",Новопсковська районна рада
739," Політична партія ""Сильна Україна"" ", Луганська область," 11,8 ",Новопсковська районна рада
740, Народна Партія , Луганська область," 2,9 ",Новопсковська районна рада
741, Партія промисловців і підприємців України , Луганська область," 2,9 ",Новопсковська районна рада
742, Партія регіонів , Луганська область," 62,5 ",Міловська районна рада
743, Партія промисловців і підприємців України , Луганська область," 21,9 ",Міловська районна рада
744, Комуністична партія України , Луганська область," 9,4 ",Міловська районна рада
745," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Луганська область," 6,3 ",Міловська районна рада
746, Партія регіонів , Луганська область," 72,2 ",Марківська районна рада
747, Комуністична партія України , Луганська область," 19,4 ",Марківська районна рада
748, Народна Партія , Луганська область," 2,8 ",Марківська районна рада
749," Політична партія ""Сильна Україна"" ", Луганська область," 2,8 ",Марківська районна рада
750, Соціалістична партія України , Луганська область," 2,8 ",Марківська районна рада
751, Партія регіонів , Луганська область," 86,7 ",Новоайдарська районна рада
752, Комуністична партія України , Луганська область," 13,3 ",Новоайдарська районна рада
753, Партія регіонів , Луганська область, 75 ,Лутугинська районна рада
754, Партія регіонів , Луганська область," 76,7 ",Білокуракинська районна рада
755, Комуністична партія України , Луганська область," 9,4 ",Лутугинська районна рада
756," Політична партія ""Сильна Україна"" ", Луганська область," 9,4 ",Лутугинська районна рада
757, Народна Партія , Луганська область," 3,1 ",Лутугинська районна рада
758, Самовисування , Луганська область," 3,1 ",Лутугинська районна рада
759, Комуністична партія України , Луганська область," 23,3 ",Білокуракинська районна рада
760, Партія регіонів , Луганська область," 73,3 ",Краснодонська районна рада
761, Партія регіонів , Луганська область," 69,4 ",Кремінська районна рада
762, Комуністична партія України , Луганська область," 16,7 ",Краснодонська районна рада
763," Політична партія ""Сильна Україна"" ", Луганська область, 10 ,Краснодонська районна рада
764," Політична партія ""Сильна Україна"" ", Луганська область," 16,7 ",Кремінська районна рада
765, Комуністична партія України , Луганська область," 8,3 ",Кремінська районна рада
766," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Луганська область," 5,6 ",Кремінська районна рада
767, Партія регіонів , Луганська область," 82,1 ",Біловодська районна рада
768, Комуністична партія України , Луганська область," 17,9 ",Біловодська районна рада
769, Партія регіонів , Кіровоградська область, 30 ,Устинівська районна рада
770, Народна Партія , Кіровоградська область," 23,3 ",Устинівська районна рада
771," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Кіровоградська область," 23,3 ",Устинівська районна рада
772," Політична партія ""Сильна Україна"" ", Кіровоградська область," 16,7 ",Устинівська районна рада
773," Політична партія ""Союз Лівих Сил"" ", Кіровоградська область," 3,3 ",Устинівська районна рада
774, Соціалістична партія України , Кіровоградська область," 3,3 ",Устинівська районна рада
775, Партія регіонів , Кіровоградська область," 55,2 ",Петрівська районна рада
776," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Кіровоградська область," 10,3 ",Петрівська районна рада
777, Комуністична партія України , Кіровоградська область," 6,9 ",Петрівська районна рада
778, Народна Партія , Кіровоградська область," 6,9 ",Петрівська районна рада
779, Партія регіонів , Кіровоградська область," 33,3 ",Світловодська районна рада
780, Партія регіонів , Кіровоградська область," 44,4 ",Ульяновська районна рада
781, Партія регіонів , Кіровоградська область," 38,5 ",Онуфріївська районна рада
782," Політична партія ""Сильна Україна"" ", Кіровоградська область," 6,9 ",Петрівська районна рада
783," Політична партія ""Фронт Змін""  ", Кіровоградська область," 6,9 ",Петрівська районна рада
784, Партія відродження села , Кіровоградська область," 3,4 ",Петрівська районна рада
785," Політична партія ""Зелені""  ", Кіровоградська область," 3,4 ",Петрівська районна рада
786, Соціалістична партія України , Кіровоградська область," 20,8 ",Світловодська районна рада
787," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Кіровоградська область," 16,7 ",Світловодська районна рада
788, Комуністична партія України , Кіровоградська область," 8,3 ",Світловодська районна рада
789, Народна Партія , Кіровоградська область," 8,3 ",Світловодська районна рада
790, Народна Партія , Кіровоградська область," 16,7 ",Ульяновська районна рада
791, Аграрна партія України , Кіровоградська область," 8,3 ",Ульяновська районна рада
792, Комуністична партія України , Кіровоградська область," 8,3 ",Ульяновська районна рада
793," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Кіровоградська область," 8,3 ",Ульяновська районна рада
794," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Кіровоградська область," 30,8 ",Онуфріївська районна рада
795, Народна Партія , Кіровоградська область," 23,1 ",Онуфріївська районна рада
796," Політична партія ""Фронт Змін""  ", Кіровоградська область," 7,7 ",Онуфріївська районна рада
797," Політична партія ""Фронт Змін""  ", Кіровоградська область," 8,3 ",Світловодська районна рада
798, Селянська партія України , Кіровоградська область," 4,2 ",Світловодська районна рада
799, Партія регіонів , Кіровоградська область," 43,5 ",Олександрівська районна рада
800, Партія регіонів , Кіровоградська область," 59,6 ",Олександрійська районна рада
801, Єдиний Центр , Кіровоградська область," 5,6 ",Ульяновська районна рада
802, Українська Народна Партія , Кіровоградська область," 5,6 ",Ульяновська районна рада
803," Політична партія ""Сильна Україна"" ", Кіровоградська область," 2,8 ",Ульяновська районна рада
804, Народна Партія , Кіровоградська область," 26,1 ",Олександрівська районна рада
805," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Кіровоградська область," 15,2 ",Олександрівська районна рада
806, Аграрна партія України , Кіровоградська область," 4,3 ",Олександрівська районна рада
807, Народна Партія , Кіровоградська область," 13,5 ",Олександрійська районна рада
808," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Кіровоградська область," 7,7 ",Олександрійська районна рада
809," Політична партія ""Сильна Україна"" ", Кіровоградська область," 7,7 ",Олександрійська районна рада
810, Комуністична партія України , Кіровоградська область," 4,3 ",Олександрівська районна рада
811," Політична партія ""Фронт Змін""  ", Кіровоградська область," 4,3 ",Олександрівська районна рада
812," Партія ""Справедливість""  ", Кіровоградська область," 2,2 ",Олександрівська районна рада
813, Комуністична партія України , Кіровоградська область," 5,8 ",Олександрійська районна рада
814, Єдиний Центр , Кіровоградська область," 3,8 ",Олександрійська районна рада
815," Політична партія ""Фронт Змін""  ", Кіровоградська область," 1,9 ",Олександрійська районна рада
816, Партія регіонів , Кіровоградська область," 56,8 ",Новоукраїнська районна рада
817, Партія регіонів , Кіровоградська область," 63,6 ",Новгородківська районна рада
818," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Кіровоградська область," 31,8 ",Новомиргородська районна рада
819," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Кіровоградська область," 11,4 ",Новоукраїнська районна рада
820, Комуністична партія України , Кіровоградська область," 6,8 ",Новоукраїнська районна рада
821, Народна Партія , Кіровоградська область," 6,8 ",Новоукраїнська районна рада
822," Політична партія ""Сильна Україна"" ", Кіровоградська область," 6,8 ",Новоукраїнська районна рада
823, Народна Партія , Кіровоградська область," 18,2 ",Новгородківська районна рада
824," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Кіровоградська область," 13,6 ",Новгородківська районна рада
825," Політична партія ""Сильна Україна"" ", Кіровоградська область," 4,5 ",Новгородківська районна рада
826, Партія регіонів , Кіровоградська область," 27,3 ",Новомиргородська районна рада
827," Політична партія ""Фронт Змін""  ", Кіровоградська область," 11,4 ",Новомиргородська районна рада
828, Народна Партія , Кіровоградська область," 9,1 ",Новомиргородська районна рада
829, Партія регіонів , Кіровоградська область, 25 ,Маловисківська районна рада
830, Народна Партія , Кіровоградська область," 44,1 ",Компаніївська районна рада
831, Соціалістична партія України , Кіровоградська область," 6,8 ",Новоукраїнська районна рада
832, Єдиний Центр , Кіровоградська область," 4,5 ",Новоукраїнська районна рада
833, Партія регіонів , Кіровоградська область," 45,5 ",Новоархангельська районна рада
834, Партія регіонів , Кіровоградська область, 50 ,Знам'янська районна рада
835," Політична партія ""Наша Україна"" ", Кіровоградська область," 6,8 ",Новомиргородська районна рада
836, Комуністична партія України , Кіровоградська область," 4,5 ",Новомиргородська районна рада
837," Політична партія ""Сильна Україна"" ", Кіровоградська область," 4,5 ",Новомиргородська районна рада
838," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Кіровоградська область, 20 ,Маловисківська районна рада
839, Єдиний Центр , Кіровоградська область," 12,5 ",Маловисківська районна рада
840, Комуністична партія України , Кіровоградська область, 10 ,Маловисківська районна рада
841, Соціалістична партія України , Кіровоградська область, 10 ,Маловисківська районна рада
